feature,coefficient
kommunale,0.7913861557896665
von staatlichen,0.7903107270726689
vorab,0.7896845238980982
befasst,0.788037461620889
gemeinsam,0.7863400364689367
zulassen,0.7858136705685462
finanzhilfen,0.7846543672410015
müssen in,0.784192085180835
unterlagen,0.7823945020772751
interesses vorliegen,0.7816793748245038
abs eine,0.7816793748245038
erlassen was,0.7816793748245038
einzelfall dringende,0.7816793748245038
vorhabens bezüglich,0.7816793748245038
vorläufige anordnung,0.7816793748245038
verpflichtet,0.7815220393270274
angesichts,0.7814867881695142
vorliegen kann,0.7813717118035541
anordnung zur,0.7812702464501656
gründe des,0.7811589629087191
dringende gründe,0.7810950769015533
volt direkt,0.7807748101653285
gewährleistung,0.7804827476286271
sofern im,0.7803940223579189
weichen,0.7803125497144744
und den,0.7801327150262878
des vorhabens,0.7795789447272329
eine vorläufige,0.779396684539616
verfahren zur,0.7791001761365038
landes,0.7785815452893745
ein klares,0.7782794688912633
vergabe,0.7780453218961763
vorhabens,0.7769456845774318
kann,0.7769120702963144
daher,0.7768980013209832
vorläufige,0.7765165305104598
öffentlichen interesses,0.7734453320630109
11,0.7726179224803311
wir stehen,0.7708974218366698
probleme,0.7706776982409547
interesses,0.7699696614654159
dringende,0.7699651543822711
abs nähere,0.7687804771219259
finanzministerium gemäß,0.7687804771219259
erlassen wie,0.7686574729314155
innere sicherheit,0.7682490286164623
zuständige landesbehörde,0.7681444803455512
klares,0.7677482043562449
bestimmungen über,0.7675051876411135
sicherung des,0.7659905060299926
nähere bestimmungen,0.7657927968214513
dem finanzministerium,0.7644910918030009
umständen zustimmen,0.7638402642618545
gebeten,0.7635099842417141
ödp direkt,0.7630161384472691
das verfahren,0.7626885132192166
vorliegenden fassung,0.762596250918715
werden diesem,0.7625686833440543
im einvernehmen,0.7623743549521025
angeregt,0.761935051081401
einvernehmen mit,0.7615743519849992
die zuständige,0.7611482655933328
anordnung,0.7607430254373336
keinen umständen,0.7601028793841209
kann im,0.7599557596500032
entwurf zum,0.7598539470777668
zur umsetzung,0.7598060423004752
unter keinen,0.7590979327154486
heute in,0.7588925315978147
tage,0.7586722011602426
projekten,0.7584003176978624
bürgerservice wurde,0.7573496875030175
bürgerservice,0.7573496875030175
vollständig modernisiert,0.7573496875030175
digitalen bürgerservice,0.7573496875030175
antragsverfahren bezüglich,0.7573496875030175
diesem entwurf,0.7571277814646413
freigeschaltet,0.7566000298048947
einvernehmen,0.7563501904839924
ausbaus des,0.7559153501260374
das antragsverfahren,0.7557092983004711
zur sicherung,0.7557056188419311
